Row [188] (2, 6) : 0.0
Row [189] (3, 6) : 0.0
Row [190] (4, 6) : 0.0
Row [191] (5, 6) : 0.0
Row [192] (6, 6) : 0.0
Row [193] (7, 6) : 0.0
Row [194] (8, 6) : 0.0
Row [195] (9, 6) : 0.0
Row [196] (10, 6) : 0.0
Row [197] (11, 6) : 0.0
Row [198] (12, 6) : 0.0
Row [199] (13, 6) : 0.0
Row [200] (14, 6) : 0.0
Row [201] (15, 6) : 0.0
Row [202] (16, 6) : 0.0
Row [203] (17, 6) : 1.0
Row [204] (18, 6) : 0.0
Row [205] (19, 6) : 0.0
Row [206] (20, 6) : 0.0
Row [207] (21, 6) : 0.0
Row [208] (22, 6) : 0.0
Row [209] (23, 6) : 0.0
Row [210] (24, 6) : 0.0
Row [211] (25, 6) : 0.0
Row [212] (26, 6) : 0.0
Row [213] (27, 6) : 0.0
Row [214] (28, 6) : 0.0
Row [215] (29, 6) : 0.0
Row [216] (30, 6) : 0.0
Row [217] (0, 7) : 0.0
Row [218] (1, 7) : 0.0
Row [219] (2, 7) : 0.0
Row [220] (3, 7) : 0.0
Row [221] (4, 7) : 0.0
Row [222] (5, 7) : 0.0
Row [223] (6, 7) : 0.0
Row [224] (7, 7) : 0.0
Row [225] (8, 7) : 0.0
Row [226] (9, 7) : 0.0
Row [227] (10, 7) : 0.0
Row [228] (11, 7) : 0.0
Row [229] (12, 7) : 0.0
Row [230] (13, 7) : 0.0
Row [231] (14, 7) : 0.0
Row [232] (15, 7) : 1.0
Row [233] (16, 7) : 1.0
Row [234] (17, 7) : 1.0
Row [235] (18, 7) : 1.0
Row [236] (19, 7) : 0.0
Row [237] (20, 7) : 0.0
Row [238] (21, 7) : 0.0
Row [239] (22, 7) : 0.0
Row [240] (23, 7) : 0.0
Row [241] (24, 7) : 0.0
Row [242] (25, 7) : 0.0
Row [243] (26, 7) : 0.0
Row [244] (27, 7) : 0.0
Row [245] (28, 7) : 0.0
Row [246] (29, 7) : 0.0
Row [247] (30, 7) : 0.0
Row [248] (0, 8) : 0.0
Row [249] (1, 8) : 0.0
Row [250] (2, 8) : 0.0
Row [251] (3, 8) : 0.0
Row [252] (4, 8) : 0.0
Row [253] (5, 8) : 0.0
Row [254] (6, 8) : 0.0
Row [255] (7, 8) : 0.0
Row [256] (8, 8) : 0.0
Row [257] (9, 8) : 0.0
Row [258] (10, 8) : 0.0
Row [259] (11, 8) : 0.0
Row [260] (12, 8) : 0.0
Row [261] (13, 8) : 0.0
Row [262] (14, 8) : 1.0
Row [263] (15, 8) : 1.0
Row [264] (16, 8) : 1.0
Row [265] (17, 8) : 1.0
Row [266] (18, 8) : 1.0
Row [267] (19, 8) : 1.0
Row [268] (20, 8) : 0.0
Row [269] (21, 8) : 0.0
Row [270] (22, 8) : 0.0
Row [271] (23, 8) : 0.0
Row [272] (24, 8) : 0.0
Row [273] (25, 8) : 0.0
Row [274] (26, 8) : 0.0
Row [275] (27, 8) : 0.0
Row [276] (28, 8) : 0.0
Row [277] (29, 8) : 0.0
Row [278] (30, 8) : 0.0
Row [279] (0, 9) : 0.0
Row [280] (1, 9) : 0.0
Row [281] (2, 9) : 0.0
Row [282] (3, 9) : 0.0
Row [283] (4, 9) : 0.0
Row [284] (5, 9) : 0.0
Row [285] (6, 9) : 0.0
Row [286] (7, 9) : 0.0
Row [287] (8, 9) : 0.0
Row [288] (9, 9) : 0.0
Row [289] (10, 9) : 0.0
Row [290] (11, 9) : 0.0
Row [291] (12, 9) : 0.0
Row [292] (13, 9) : 1.0
Row [293] (14, 9) : 1.0
Row [294] (15, 9) : 1.0
Row [295] (16, 9) : 1.0
Row [296] (17, 9) : 1.0
Row [297] (18, 9) : 1.0
Row [298] (19, 9) : 1.0
Row [299] (20, 9) : 0.0
Row [300] (21, 9) : 0.0
Row [301] (22, 9) : 0.0
Row [302] (23, 9) : 0.0
Row [303] (24, 9) : 0.0
Row [304] (25, 9) : 0.0
Row [305] (26, 9) : 0.0
Row [306] (27, 9) : 0.0
Row [307] (28, 9) : 0.0
Row [308] (29, 9) : 0.0
Row [309] (30, 9) : 0.0
Row [310] (0, 10) : 0.0
Row [311] (1, 10) : 0.0
Row [312] (2, 10) : 0.0
Row [313] (3, 10) : 0.0
Row [314] (4, 10) : 0.0
Row [315] (5, 10) : 0.0
Row [316] (6, 10) : 0.0
Row [317] (7, 10) : 0.0
Row [318] (8, 10) : 0.0
Row [319] (9, 10) : 0.0
Row [320] (10, 10) : 0.0
Row [321] (11, 10) : 0.0
Row [322] (12, 10) : 0.0
Row [323] (13, 10) : 1.0
Row [324] (14, 10) : 1.0
Row [325] (15, 10) : 1.0
Row [326] (16, 10) : 1.0
Row [327] (17, 10) : 1.0
Row [328] (18, 10) : 1.0
Row [329] (19, 10) : 1.0
Row [330] (20, 10) : 1.0
Row [331] (21, 10) : 0.0
Row [332] (22, 10) : 0.0
Row [333] (23, 10) : 0.0
Row [334] (24, 10) : 0.0
Row [335] (25, 10) : 0.0
Row [336] (26, 10) : 0.0
Row [337] (27, 10) : 0.0
Row [338] (28, 10) : 0.0
Row [339] (29, 10) : 0.0
Row [340] (30, 10) : 0.0
Row [341] (0, 11) : 0.0
Row [342] (1, 11) : 0.0
Row [343] (2, 11) : 1.0
Row [344] (3, 11) : 0.0
Row [345] (4, 11) : 0.0
Row [346] (5, 11) : 0.0
Row [347] (6, 11) : 0.0
Row [348] (7, 11) : 0.0
Row [349] (8, 11) : 0.0
Row [350] (9, 11) : 0.0
Row [351] (10, 11) : 0.0
Row [352] (11, 11) : 1.0
Row [353] (12, 11) : 1.0
Row [354] (13, 11) : 1.0
Row [355] (14, 11) : 1.0
Row [356] (15, 11) : 1.0
Row [357] (16, 11) : 1.0
Row [358] (17, 11) : 1.0
Row [359] (18, 11) : 1.0
Row [360] (19, 11) : 1.0
Row [361] (20, 11) : 0.0
Row [362] (21, 11) : 1.0
Row [363] (22, 11) : 0.0
Row [364] (23, 11) : 0.0
Row [365] (24, 11) : 0.0
Row [366] (25, 11) : 0.0
Row [367] (26, 11) : 0.0
Row [368] (27, 11) : 0.0
Row [369] (28, 11) : 0.0
Row [370] (29, 11) : 0.0
Row [371] (30, 11) : 0.0
Row [372] (0, 12) : 0.0
Row [373] (1, 12) : 0.0
Row [374] (2, 12) : 0.0
Row [375] (3, 12) : 0.0
Row [376] (4, 12) : 0.0
Row [377] (5, 12) : 0.0
Row [378] (6, 12) : 0.0
Row [379] (7, 12) : 0.0
Row [380] (8, 12) : 0.0
Row [381] (9, 12) : 0.0
Row [382] (10, 12) : 0.0
Row [383] (11, 12) : 0.0
Row [384] (12, 12) : 1.0
Row [385] (13, 12) : 1.0
Row [386] (14, 12) : 1.0
Row [387] (15, 12) : 1.0
Row [388] (16, 12) : 1.0
Row [389] (17, 12) : 1.0
Row [390] (18, 12) : 1.0
Row [391] (19, 12) : 1.0
Row [392] (20, 12) : 1.0
Row [393] (21, 12) : 1.0
Row [394] (22, 12) : 0.0
Row [395] (23, 12) : 0.0
Row [396] (24, 12) : 0.0
Row [397] (25, 12) : 0.0
Row [398] (26, 12) : 0.0
Row [399] (27, 12) : 0.0
Row [400] (28, 12) : 0.0
Row [401] (29, 12) : 0.0
Row [402] (30, 12) : 0.0
Row [403] (0, 13) : 0.0
Row [404] (1, 13) : 0.0
Row [405] (2, 13) : 0.0
Row [406] (3, 13) : 0.0
Row [407] (4, 13) : 0.0
Row [408] (5, 13) : 0.0
Row [409] (6, 13) : 0.0
Row [410] (7, 13) : 0.0
Row [411] (8, 13) : 0.0
Row [412] (9, 13) : 0.0
Row [413] (10, 13) : 0.0
Row [414] (11, 13) : 1.0
Row [415] (12, 13) : 1.0
Row [416] (13, 13) : 1.0
